Year	Energy	Consumption	Type	SubType
2010	Coal	20828382	Primary	NonRenewable
2011	Coal	19663856	Primary	NonRenewable
2012	Coal	17380923	Primary	NonRenewable
2013	Coal	18038771	Primary	NonRenewable
2014	Coal	17996577	Primary	NonRenewable
2010	Electricity	12811519	Secondary	None
2011	Electricity	12794475	Secondary	None
2012	Electricity	12606145	Secondary	None
2013	Electricity	12709249	Secondary	None
2014	Electricity	12845157	Secondary	None
2010	FossFuel	80891321	Primary	NonRenewable
2011	FossFuel	80891321	Primary	NonRenewable
2012	FossFuel	80891321	Primary	NonRenewable
2013	FossFuel	80891321	Primary	NonRenewable
2014	FossFuel	80891321	Primary	NonRenewable
2010	Hydro	2538541	Primary	Renewable
2011	Hydro	2538541	Primary	Renewable
2012	Hydro	2538541	Primary	Renewable
2013	Hydro	2538541	Primary	Renewable
2014	Hydro	2538541	Primary	Renewable
2010	GeoThermal	207979	Primary	Renewable
2011	GeoThermal	212311	Primary	Renewable
2012	GeoThermal	211592	Primary	Renewable
2013	GeoThermal	214006	Primary	Renewable
2014	GeoThermal	214490	Primary	Renewable
2010	NatGas	24633507	Primary	NonRenewable
2011	NatGas	25014983	Primary	NonRenewable
2012	NatGas	26138351	Primary	NonRenewable
2013	NatGas	26858134	Primary	NonRenewable
2014	NatGas	27513198	Primary	NonRenewable
2010	LPG	2820984	Secondary	None
2011	LPG	2820984	Secondary	None
2012	LPG	2911810	Secondary	None
2013	LPG	3166737	Secondary	None
2014	LPG	3090053	Secondary	None
2010	Biomass	4235786	Primary	Renewable
2011	Biomass	4290667	Primary	Renewable
2012	Biomass	4249844	Primary	Renewable
2013	Biomass	4464695	Primary	Renewable
2014	Biomass	4611638	Primary	Renewable